Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-9009391,"Extra-nuclear estrogen signaling",16,80,0.007119337901575154,1.5816302743731914E-4,0.0026887714664344253,30,38,0.002871825876662636,9606,Homo sapiens,"O00459;P24385;P29474;P10415;P0DP23;O15530;P28482;P14780;P08069;P08253;P03372;P00533;P27986;Q92569","O00459;P24385;P29474;P10415;P0DP23;O15530;P28482;P14780;P03372-3;P08069;P08253;P03372-4;P03372;P00533;P27986;Q92569","R-HSA-9624272;R-HSA-9625814;R-HSA-9632918;R-HSA-9021068;R-HSA-9633044;R-HSA-198731;R-HSA-9632858;R-HSA-9634584;R-HSA-202127;R-HSA-437195;R-HSA-9632412;R-HSA-437192;R-HSA-9021596;R-HSA-9021660;R-HSA-9632906;R-HSA-9625482;R-HSA-9021072;R-HSA-9632910;R-HSA-9625487;R-HSA-9021079;R-HSA-9027670;R-HSA-9021609;R-HSA-9632182;R-HSA-9021601;R-HSA-9021600;R-HSA-9623355;R-HSA-9625465;R-HSA-9623999;R-HSA-9632873;R-HSA-9021170"
R-HSA-417973,"Adenosine P1 receptors",4,4,3.559668950787577E-4,1.796086901396654E-4,0.0028737390422346465,2,2,1.5114873035066505E-4,9606,Homo sapiens,"P0DMS8;P29274;P29275;P30542","P0DMS8;P29274;P29275;P30542","R-HSA-418925;R-HSA-418904"
R-HSA-1296025,"ATP sensitive Potassium channels",4,4,3.559668950787577E-4,1.796086901396654E-4,0.0028737390422346465,2,2,1.5114873035066505E-4,9606,Homo sapiens,"Q14654;Q15842;Q09428;O60706","Q14654;Q15842;Q09428;O60706","R-HSA-1296024;R-HSA-1369017"
R-HSA-419037,"NCAM1 interactions",11,42,0.0037376523983269558,1.7970688375434918E-4,0.002875310140069587,2,10,7.557436517533253E-4,9606,Homo sapiens,"O00305;Q13698;Q01668;P12109;O95180;Q02641;Q9P0X4;O43497;P54284;Q13936;Q08289","O00305;Q13698;Q01668;P12109;O95180;Q02641;Q9P0X4;O43497;P54284;Q13936;Q08289","R-HSA-525833;R-HSA-375151"
R-HSA-1237044,"Erythrocytes take up carbon dioxide and release oxygen",6,12,0.001067900685236273,1.9749890293374595E-4,0.003159982446939935,5,7,5.290205562273277E-4,9606,Homo sapiens,"P22748;P29972;P00915;P68871;P69905;P00918","P22748;P29972;P00915;P68871;P69905;P00918","R-HSA-1237042;R-HSA-1237047;R-HSA-6806831;R-HSA-1475435;R-HSA-1237325"
R-HSA-1480926,"O2/CO2 exchange in erythrocytes",6,12,0.001067900685236273,1.9749890293374595E-4,0.003159982446939935,9,13,9.824667472793228E-4,9606,Homo sapiens,"P22748;P29972;P00915;P68871;P69905;P00918","P22748;P29972;P00915;P68871;P69905;P00918","R-HSA-1237042;R-HSA-1237059;R-HSA-1247649;R-HSA-1237047;R-HSA-1247668;R-HSA-6806831;R-HSA-1475436;R-HSA-1475435;R-HSA-1237325"
R-HSA-425397,"Transport of vitamins, nucleosides, and related molecules",11,43,0.003826644122096645,2.1922734176282876E-4,0.0035076374682052602,12,39,0.0029474002418379687,9606,Homo sapiens,"Q92959;Q96BD0;Q9NYB5;Q9Y6L6;O94956;Q9NPD5;Q7RTT9;Q9HAS3;P46721;Q9UIG8;Q6ZQN7","Q92959;Q9UIG8-1;Q96BD0;Q9NYB5;Q9Y6L6;O94956;Q9NPD5;Q7RTT9;Q9HAS3;P46721;Q6ZQN7","R-HSA-9631987;R-HSA-194083;R-HSA-109538;R-HSA-879528;R-HSA-879594;R-HSA-879562;R-HSA-879584;R-HSA-194130;R-HSA-727768;R-HSA-727740;R-HSA-879575;R-HSA-194079"
R-HSA-166665,"Terminal pathway of complement",5,8,7.119337901575154E-4,2.45844744247381E-4,0.003687671163710715,5,5,3.7787182587666263E-4,9606,Homo sapiens,"P01031;P07360;P07358;P07357;P10909","P01031;P07360;P07358;P07357;P10909","R-HSA-173723;R-HSA-173720;R-HSA-173705;R-HSA-173725;R-HSA-173709"
R-HSA-2022377,"Metabolism of Angiotensinogen to Angiotensins",7,18,0.0016018510278544096,2.7064737176862863E-4,0.0040597105765294295,19,19,0.001435912938331318,9606,Homo sapiens,"P23141;Q9BYF1;P15144;P01019;P08473;P12821;P00797","P23141;Q9BYF1;P15144;P01019;P08473;P12821;P00797","R-HSA-2022398;R-HSA-2022399;R-HSA-2022396;R-HSA-9619024;R-HSA-2022393;R-HSA-9614933;R-HSA-2022383;R-HSA-2022412;R-HSA-2065357;R-HSA-2022381;R-HSA-2022378;R-HSA-2065355;R-HSA-2022379;R-HSA-2022411;R-HSA-2028294;R-HSA-2022405;R-HSA-2022403;R-HSA-2022368;R-HSA-8851929"
R-HSA-156580,"Phase II - Conjugation of compounds",19,111,0.009878081338435525,2.8635253518194403E-4,0.0042952880277291605,17,68,0.005139056831922612,9606,Homo sapiens,"P51580;O75795;P19224;P35503;P11245;P54855;O60656;P16662;P21964;P40261;P22309;P22310;P09488;P09210;P06133;P09211;P05177;P0DMM9;Q9HAW8","P51580;O75795;P19224;P35503;P11245;P54855;O60656;P16662;P21964;P40261;P22309;P22310;P09488;P09210;P06133;P09211;P05177;P0DMM9;Q9HAW8","R-HSA-76386;R-HSA-174916;R-HSA-159179;R-HSA-176585;R-HSA-8941701;R-HSA-175983;R-HSA-174931;R-HSA-175987;R-HSA-158832;R-HSA-158609;R-HSA-176054;R-HSA-9632038;R-HSA-9632039;R-HSA-174967;R-HSA-159194;R-HSA-176474;R-HSA-159358"
R-HSA-445095,"Interaction between L1 and Ankyrins",9,31,0.002758743436860372,3.273660993485805E-4,0.004910491490228708,1,4,3.022974607013301E-4,9606,Homo sapiens,"Q14524;Q9Y5Y9;Q9UQD0;Q15858;Q9NY46;Q07699;P35499;P35498;Q99250","Q14524;Q9Y5Y9;Q9UQD0;Q15858;Q9NY46;Q07699;P35499;P35498;Q99250","R-HSA-373739"
R-HSA-5654695,"PI-3K cascade:FGFR2",8,26,0.002313784818011925,4.763536080152342E-4,0.007145304120228513,7,7,5.290205562273277E-4,9606,Homo sapiens,"P21802;P05230;P27986;P09038;P08620","P21802-18;P21802-1;P05230;P27986;P21802-5;P09038;P08620;P21802-3","R-HSA-5654614;R-HSA-5654612;R-HSA-5654622;R-HSA-177931;R-HSA-5654620;R-HSA-5654701;R-HSA-5654697"
R-HSA-76009,"Platelet Aggregation (Plug Formation)",10,40,0.003559668950787577,4.980818363906625E-4,0.0074712275458599375,22,27,0.0020405078597339785,9606,Homo sapiens,"P07359;P08913;P02671;P08514;P05106;P18825;O15530;P00734;P18089;P02751","P07359;P08913;P02671;P08514;P05106;P18825;O15530;P00734;P18089;P02751","R-HSA-354149;R-HSA-443910;R-HSA-429415;R-HSA-354087;R-HSA-390663;R-HSA-372705;R-HSA-432096;R-HSA-443905;R-HSA-429441;R-HSA-432110;R-HSA-377644;R-HSA-354124;R-HSA-377641;R-HSA-377640;R-HSA-377643;R-HSA-372693;R-HSA-354165;R-HSA-354066;R-HSA-354077;R-HSA-372697;R-HSA-354073;R-HSA-429529"
R-HSA-8964043,"Plasma lipoprotein clearance",9,33,0.0029367268843997507,5.106736391496947E-4,0.007626704366617609,29,34,0.002569528415961306,9606,Homo sapiens,"Q8NBP7;P04114;P01130;P98155;P02649;P35610;P02647;Q8WTV0;Q0VD83","Q8NBP7;P04114;P01130;P98155;P02649;P35610;P02647;Q8WTV0-2;Q0VD83","R-HSA-349637;R-HSA-8855111;R-HSA-8933258;R-HSA-174657;R-HSA-349638;R-HSA-8865667;R-HSA-6784738;R-HSA-264834;R-HSA-171141;R-HSA-8876366;R-HSA-8858252;R-HSA-171087;R-HSA-8854408;R-HSA-264848;R-HSA-174808;R-HSA-8855131;R-HSA-8855130;R-HSA-8876696;R-HSA-171106;R-HSA-174624;R-HSA-8854628;R-HSA-8933292;R-HSA-171122;R-HSA-174706;R-HSA-171059;R-HSA-6784735;R-HSA-8854462;R-HSA-6784734;R-HSA-6784729"
R-HSA-6806667,"Metabolism of fat-soluble vitamins",11,48,0.004271602740945092,5.447645976155435E-4,0.007626704366617609,13,32,0.0024183796856106408,9606,Homo sapiens,"P04114;P98164;Q9BQB6;P01130;P42330;P02649;P06727;P02647;P02766;Q04828;P02652","P04114;P98164;Q9BQB6;P01130;P42330;P02649;P06727;P02647;P02766;Q04828;P02652","R-HSA-2404134;R-HSA-2187332;R-HSA-2404131;R-HSA-2404140;R-HSA-2395784;R-HSA-159790;R-HSA-2423785;R-HSA-2429643;R-HSA-2395764;R-HSA-2424254;R-HSA-2395768;R-HSA-9026967;R-HSA-2855252"
R-HSA-375165,"NCAM signaling for neurite out-growth",13,64,0.005695470321260123,5.482383202028984E-4,0.007675336482840578,4,23,0.001738210399032648,9606,Homo sapiens,"O00305;Q13698;P12109;Q9P0X4;P28482;O43497;Q13936;Q08289;Q01668;P11362;O95180;Q02641;P54284","O00305;Q13698;P12109;Q9P0X4;P28482;O43497;Q13936;Q08289;Q01668;O95180;Q02641;P11362-1;P54284","R-HSA-525833;R-HSA-198756;R-HSA-375151;R-HSA-419033"
R-HSA-1226099,"Signaling by FGFR in disease",14,73,0.006496395835187328,5.958800856283863E-4,0.008342321198797409,86,106,0.008010882708585248,9606,Homo sapiens,"P21802;P11362;P05230;P27986;P09038;P08620;P22455","P21802-5;P21802-3;P21802;P21802-18;P21802-1;P21802-17;P11362;P11362-19;P11362-1;P05230;P27986;P09038;P08620;P22455","R-HSA-2023455;R-HSA-2029983;R-HSA-5655252;R-HSA-2046363;R-HSA-2023451;R-HSA-5655248;R-HSA-5655262;R-HSA-5655263;R-HSA-5654748;R-HSA-5655235;R-HSA-1839114;R-HSA-5655233;R-HSA-5655247;R-HSA-5655244;R-HSA-5655245;R-HSA-5655243;R-HSA-5655240;R-HSA-2067713;R-HSA-5655241;R-HSA-1839107;R-HSA-5655284;R-HSA-5655285;R-HSA-2012086;R-HSA-5655295;R-HSA-2012087;R-HSA-5655290;R-HSA-5655289;R-HSA-5655270;R-HSA-5655268;R-HSA-5655269;R-HSA-2012074;R-HSA-5655266;R-HSA-2029992;R-HSA-2012073;R-HSA-5655278;R-HSA-2023462;R-HSA-2029988;R-HSA-2023460;R-HSA-5655277;R-HSA-2029989;R-HSA-8853308;R-HSA-2038946;R-HSA-2029984;R-HSA-2023456;R-HSA-2038944;R-HSA-8853319;R-HSA-8853316;R-HSA-5655315;R-HSA-8853313;R-HSA-5654544;R-HSA-5654545;R-HSA-5655313;R-HSA-5655326;R-HSA-8853325;R-HSA-8853323;R-HSA-5655323;R-HSA-2033490;R-HSA-8853322;R-HSA-5655320;R-HSA-2033488;R-HSA-8853320;R-HSA-2033486;R-HSA-5655301;R-HSA-2033479;R-HSA-2033474;R-HSA-2033472;R-HSA-1839100;R-HSA-5655351;R-HSA-1839102;R-HSA-5655348;R-HSA-5655347;R-HSA-1839098;R-HSA-1839094;R-HSA-1982066;R-HSA-2077424;R-HSA-1839091;R-HSA-1982065;R-HSA-2077421;R-HSA-2077420;R-HSA-1839080;R-HSA-5655343;R-HSA-8851710;R-HSA-1839078;R-HSA-5655341;R-HSA-5655339;R-HSA-5655336"
R-HSA-264876,"Insulin processing",8,27,0.0024027765417816145,6.077336809431344E-4,0.008508271533203882,15,16,0.0012091898428053204,9606,Homo sapiens,"Q8TAD4;P16870;Q8IWU4;Q8NEW0;P01308;P29120;P16519;Q6NXT4","Q8TAD4;P16870;Q8IWU4;Q8NEW0;P01308;P29120;P16519;Q6NXT4","R-HSA-264997;R-HSA-9023178;R-HSA-265153;R-HSA-9023171;R-HSA-265160;R-HSA-9023173;R-HSA-437129;R-HSA-9023163;R-HSA-264976;R-HSA-9023196;R-HSA-437139;R-HSA-265010;R-HSA-437136;R-HSA-437085;R-HSA-9023159"
R-HSA-5576893,"Phase 2 - plateau phase",6,15,0.0013348758565453413,6.356578580334338E-4,0.00873300334341931,2,2,1.5114873035066505E-4,9606,Homo sapiens,"Q99996;Q02641;Q9NY47;Q13936;Q08289;P51787","Q99996;Q02641;Q9NY47;Q13936;Q08289;P51787","R-HSA-5577213;R-HSA-5577050"
R-HSA-2162123,"Synthesis of Prostaglandins (PG) and Thromboxanes (TX)",6,15,0.0013348758565453413,6.356578580334338E-4,0.00873300334341931,12,20,0.0015114873035066505,9606,Homo sapiens,"P42330;P23219;P16152;Q9H7Z7;P35354;Q8N8N7","P42330;P23219;P16152;Q9H7Z7;P35354;Q8N8N7","R-HSA-140355;R-HSA-140359;R-HSA-265295;R-HSA-2161549;R-HSA-2309773;R-HSA-2161614;R-HSA-2309779;R-HSA-2161651;R-HSA-2314678;R-HSA-2309787;R-HSA-2161692;R-HSA-2314686"
R-HSA-416476,"G alpha (q) signalling events",29,219,0.019489187505561983,6.357529833249664E-4,0.00873300334341931,10,35,0.0026451027811366383,9606,Homo sapiens,"P08912;P01042;P28223;P11229;P28482;P37288;P04083;P46663;P01019;P24530;P27986;O00459;P30556;P25101;P01350;P25100;P30559;P51812;P35368;P35367;P35348;P34995;P20309;P00734;P55085;P00533;P05067;Q92569;P25116","P08912;P01042;P28223;P11229;P28482;P37288;P04083;P46663;P01019;P24530;P27986;O00459;P30556;P25101;P01350;P25100;P30559;P51812;P35368;P35367;P35348;P34995;P20309;P00734;P55085;P00533;P05067;Q92569;P25116","R-HSA-870269;R-HSA-416358;R-HSA-749448;R-HSA-199895;R-HSA-2179415;R-HSA-749452;R-HSA-198746;R-HSA-2179387;R-HSA-379048;R-HSA-2179407"
R-HSA-5654221,"Phospholipase C-mediated cascade; FGFR2",7,21,0.0018688261991634779,6.698246690004517E-4,0.00873300334341931,3,3,2.2672309552599758E-4,9606,Homo sapiens,"P21802;P05230;P09038;P08620","P21802-18;P21802-1;P05230;P21802-5;P09038;P08620;P21802-3","R-HSA-5654147;R-HSA-5654159;R-HSA-5654157"
R-HSA-159740,"Gamma-carboxylation of protein precursors",5,10,8.899172376968942E-4,6.717694879553315E-4,0.00873300334341931,9,9,6.801692865779928E-4,9606,Homo sapiens,"P04070;P00734;P00742;P38435;P07225","P04070;P00734;P00742;P38435;P07225","R-HSA-163810;R-HSA-159826;R-HSA-159795;R-HSA-159761;R-HSA-6807214;R-HSA-159819;R-HSA-159803;R-HSA-159752;R-HSA-163820"
R-HSA-8963901,"Chylomicron remodeling",5,10,8.899172376968942E-4,6.717694879553315E-4,0.00873300334341931,3,3,2.2672309552599758E-4,9606,Homo sapiens,"P04114;P02649;P06727;P02647;P02652","P04114;P02649;P06727;P02647;P02652","R-HSA-174690;R-HSA-174739;R-HSA-174757"
R-HSA-549127,"Organic cation transport",5,10,8.899172376968942E-4,6.717694879553315E-4,0.00873300334341931,8,9,6.801692865779928E-4,9606,Homo sapiens,"O76082;O15244;O75751;Q9H015;O15245","O76082;O15244;O75751;Q9H015;O15245","R-HSA-549304;R-HSA-549241;R-HSA-549129;R-HSA-549322;R-HSA-561054;R-HSA-549279;R-HSA-561072;R-HSA-549297"
R-HSA-8963899,"Plasma lipoprotein remodeling",9,35,0.0031147103319391295,7.708122217269242E-4,0.010020558882450015,19,31,0.0023428053204353084,9606,Homo sapiens,"P04114;P29122;P55157;P02649;P06727;P02768;P02647;P07237;P02652","P04114;P29122;P55157;P02649;P06727;P02768;P02647;P07237;P02652","R-HSA-174690;R-HSA-9737780;R-HSA-266310;R-HSA-264678;R-HSA-264679;R-HSA-174757;R-HSA-6784622;R-HSA-266350;R-HSA-176879;R-HSA-266089;R-HSA-266315;R-HSA-174739;R-HSA-264695;R-HSA-6784628;R-HSA-264689;R-HSA-349404;R-HSA-266303;R-HSA-266328;R-HSA-266299"
R-HSA-9730628,"Sensory perception of salty taste",4,6,5.339503426181365E-4,8.173451474018378E-4,0.010625486916223892,1,2,1.5114873035066505E-4,9606,Homo sapiens,"P37088;P51168;P51172;P51170","P37088;P51168;P51172;P51170","R-HSA-2672334"
R-HSA-418457,"cGMP effects",6,16,0.0014238675803150307,8.848338106015596E-4,0.011502839537820275,2,4,3.022974607013301E-4,9606,Homo sapiens,"O76074;P54750;Q9Y233;Q9HCR9;Q01064;Q12791","O76074;P54750;Q9Y233;Q9HCR9;Q01064;Q12791","R-HSA-418549;R-HSA-418456"
R-HSA-975634,"Retinoid metabolism and transport",10,44,0.003915635845866334,0.00101870716538921,0.013243193150059729,11,26,0.0019649334945586456,9606,Homo sapiens,"P04114;P98164;P01130;P42330;P02649;P06727;P02647;P02766;Q04828;P02652","P04114;P98164;P01130;P42330;P02649;P06727;P02647;P02766;Q04828;P02652","R-HSA-2395764;R-HSA-2404134;R-HSA-2187332;R-HSA-2404131;R-HSA-2404140;R-HSA-2424254;R-HSA-2395768;R-HSA-2395784;R-HSA-2423785;R-HSA-2429643;R-HSA-2855252"
R-HSA-159854,"Gamma-carboxylation, transport, and amino-terminal cleavage of proteins",5,11,9.789089614665836E-4,0.0010238844197261177,0.01331049745643953,17,27,0.0020405078597339785,9606,Homo sapiens,"P04070;P00734;P00742;P38435;P07225","P04070;P00734;P00742;P38435;P07225","R-HSA-163810;R-HSA-159843;R-HSA-6807214;R-HSA-159819;R-HSA-159752;R-HSA-163820;R-HSA-159757;R-HSA-159826;R-HSA-159762;R-HSA-159795;R-HSA-159728;R-HSA-159761;R-HSA-159729;R-HSA-159733;R-HSA-159803;R-HSA-159771;R-HSA-159773"
R-HSA-190241,"FGFR2 ligand binding and activation",7,23,0.0020468096467028568,0.001128786135941584,0.013545433631299009,5,5,3.7787182587666263E-4,9606,Homo sapiens,"P21802;P05230;P09038;P08620","P21802-18;P21802-1;P05230;P21802-5;P09038;P08620;P21802-3","R-HSA-190258;R-HSA-5656070;R-HSA-190260;R-HSA-190408;R-HSA-190413"
R-HSA-8851708,"Signaling by FGFR2 IIIa TM",7,23,0.0020468096467028568,0.001128786135941584,0.013545433631299009,2,2,1.5114873035066505E-4,9606,Homo sapiens,"P21802;P05230;P09038","P21802;P21802-18;P21802-1;P05230;P21802-5;P09038;P21802-3","R-HSA-8851710;R-HSA-8853320"
R-HSA-380615,"Serotonin clearance from the synaptic cleft",3,3,2.6697517130906825E-4,0.0011970615832090914,0.014364738998509097,3,3,2.2672309552599758E-4,9606,Homo sapiens,"P31645;P05091;P21397","P31645;P05091;P21397","R-HSA-141186;R-HSA-380608;R-HSA-444008"
R-HSA-9657688,"Defective factor XII causes hereditary angioedema",3,3,2.6697517130906825E-4,0.0011970615832090914,0.014364738998509097,2,2,1.5114873035066505E-4,9606,Homo sapiens,"P03952;P00748;P00734","P03952;P00748;P00734","R-HSA-9653249;R-HSA-9655046"
R-HSA-392023,"Adrenaline signalling through Alpha-2 adrenergic receptor",3,3,2.6697517130906825E-4,0.0011970615832090914,0.014364738998509097,1,1,7.557436517533252E-5,9606,Homo sapiens,"P08913;P18825;P18089","P08913;P18825;P18089","R-HSA-390663"
R-HSA-1839126,"FGFR2 mutant receptor activation",9,38,0.003381685503248198,0.0013544629911487194,0.016253555893784633,18,18,0.0013603385731559856,9606,Homo sapiens,"P21802;P05230;P09038;P08620","P21802;P21802-18;P21802-1;P21802-17;P05230;P21802-5;P09038;P08620;P21802-3","R-HSA-8853319;R-HSA-2029983;R-HSA-8853313;R-HSA-2033490;R-HSA-2077424;R-HSA-2033488;R-HSA-8853320;R-HSA-2033486;R-HSA-2077421;R-HSA-2029992;R-HSA-2033479;R-HSA-8851710;R-HSA-2029988;R-HSA-2029989;R-HSA-2033474;R-HSA-2029984;R-HSA-2067713;R-HSA-2033472"
R-HSA-5578775,"Ion homeostasis",11,54,0.004805553083563229,0.0013904703482542358,0.01668564417905083,8,16,0.0012091898428053204,9606,Homo sapiens,"P54710;P17612;Q14654;Q92736;P21817;P32418;P0DP23;P13637;O60706;P05023;P50993","P54710;P17612;Q14654;Q92736;P21817;P32418;P0DP23;P13637;O60706;P05023;P50993","R-HSA-427910;R-HSA-5678261;R-HSA-2855020;R-HSA-9684068;R-HSA-425661;R-HSA-5617182;R-HSA-5617179;R-HSA-936897"
R-HSA-193368,"Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol",7,24,0.002135801370472546,0.0014357640498625646,0.017229168598350775,8,31,0.0023428053204353084,9606,Homo sapiens,"P52895;P42330;P19793;P51857;O95342;O14975;Q04828","P52895;P42330;P19793;P51857;O95342;O14975;Q04828","R-HSA-193362;R-HSA-192051;R-HSA-192067;R-HSA-192160;R-HSA-193424;R-HSA-192033;R-HSA-192036;R-HSA-193401"
R-HSA-174577,"Activation of C3 and C5",4,7,6.229420663878259E-4,0.0014359220804368578,0.017231064965242293,3,3,2.2672309552599758E-4,9606,Homo sapiens,"P0C0L5;P01031;P00751;P01024","P0C0L5;P01031;P00751;P01024","R-HSA-173680;R-HSA-166817;R-HSA-173636"
R-HSA-1839122,"Signaling by activated point mutants of FGFR1",5,12,0.001067900685236273,0.0014972811814133458,0.01727870855240965,4,4,3.022974607013301E-4,9606,Homo sapiens,"P11362;P05230;P09038;P08620","P11362;P11362-1;P05230;P09038;P08620","R-HSA-2023455;R-HSA-2023451;R-HSA-2023460;R-HSA-2023456"
R-HSA-163685,"Integration of energy metabolism",17,109,0.009700097890896146,0.0015707916865826954,0.01727870855240965,20,62,0.004685610640870617,9606,Homo sapiens,"P08913;Q14654;P53396;Q13936;Q08289;P11168;O00555;P17612;Q01668;P18825;P20309;O60488;P01308;Q9NY47;Q09428;P54284;P43220","P08913;Q14654;P53396;Q13936;Q08289;P11168;O00555;P17612;Q01668;P18825;P20309;O60488;P01308;Q9NY47;Q09428;P54284;P43220","R-HSA-400071;R-HSA-400046;R-HSA-434382;R-HSA-265645;R-HSA-381644;R-HSA-381612;R-HSA-265166;R-HSA-499981;R-HSA-400012;R-HSA-381707;R-HSA-381706;R-HSA-111925;R-HSA-381713;R-HSA-265682;R-HSA-163770;R-HSA-163672;R-HSA-400092;R-HSA-399995;R-HSA-163676;R-HSA-163773"
R-HSA-9717189,"Sensory perception of taste",10,47,0.004182611017175403,0.0016493150881443652,0.018142465969588017,6,24,0.0018137847642079807,9606,Homo sapiens,"P37088;Q8TD43;P51168;P51172;Q15858;Q9NY46;P63252;Q07699;Q99250;P51170","P37088;Q8TD43;P51168;P51172;Q15858;Q9NY46;P63252;Q07699;Q99250;P51170","R-HSA-9717396;R-HSA-9717382;R-HSA-9717383;R-HSA-2672334;R-HSA-9729870;R-HSA-9717374"
R-HSA-2033519,"Activated point mutants of FGFR2",6,19,0.001690842751624099,0.0020953949487538814,0.023049344436292696,10,10,7.557436517533253E-4,9606,Homo sapiens,"P21802;P05230;P09038;P08620","P21802;P21802-1;P05230;P09038;P08620;P21802-3","R-HSA-2033486;R-HSA-2029983;R-HSA-2077421;R-HSA-2033479;R-HSA-2033474;R-HSA-2033490;R-HSA-2029984;R-HSA-2077424;R-HSA-2033472;R-HSA-2033488"
R-HSA-5576886,"Phase 4 - resting membrane potential",6,19,0.001690842751624099,0.0020953949487538814,0.023049344436292696,2,2,1.5114873035066505E-4,9606,Homo sapiens,"Q14500;O95069;O00180;P63252;Q9Y257;P48050","Q14500;O95069;O00180;P63252;Q9Y257;P48050","R-HSA-5578910;R-HSA-1296046"
R-HSA-442660,"Na+/Cl- dependent neurotransmitter transporters",6,19,0.001690842751624099,0.0020953949487538814,0.023049344436292696,4,14,0.0010580411124546554,9606,Homo sapiens,"O15244;Q05940;P23975;O15245;P54219;Q01959","O15244;Q05940;P23975;O15245;P54219;Q01959","R-HSA-379393;R-HSA-374896;R-HSA-444160;R-HSA-443997"
R-HSA-5655253,"Signaling by FGFR2 in disease",10,49,0.004360594464714781,0.0022228606966453457,0.024451467663098803,28,28,0.002116082224909311,9606,Homo sapiens,"P21802;P05230;P27986;P09038;P08620","P21802;P21802-18;P21802-1;P21802-17;P05230;P27986;P21802-5;P09038;P08620;P21802-3","R-HSA-8853319;R-HSA-2029983;R-HSA-8853313;R-HSA-5654748;R-HSA-5655323;R-HSA-2033490;R-HSA-5655320;R-HSA-2033488;R-HSA-8853320;R-HSA-2033486;R-HSA-5655301;R-HSA-5655233;R-HSA-2033479;R-HSA-5655245;R-HSA-2033474;R-HSA-2067713;R-HSA-5655241;R-HSA-2033472;R-HSA-2077424;R-HSA-5655268;R-HSA-2077421;R-HSA-2029992;R-HSA-5655343;R-HSA-8851710;R-HSA-2029988;R-HSA-2029989;R-HSA-5655339;R-HSA-2029984"
R-HSA-3108232,"SUMO E3 ligases SUMOylate target proteins",23,174,0.015484559935925958,0.0022564729008991424,0.024821201909890567,37,131,0.009900241837968561,9606,Homo sapiens,"P56524;P10827;O15392;Q92769;P10828;O75469;Q13547;P04637;P19793;P35658;P10275;Q9Y6K1;P12004;P37231;Q00987;Q07869;P04150;P03372;P06401;P09874;P25963;P08235;P26358","P56524;O15392;Q92769;P10828;Q13547;P04637;P19793;P35658;P10275;Q9Y6K1;P12004;P37231;O75469-1;Q00987;Q07869;P10827-2;P04150;P03372;P06401;P09874;P25963;P08235;P26358","R-HSA-4655431;R-HSA-4615872;R-HSA-4719424;R-HSA-4616015;R-HSA-4755524;R-HSA-4341070;R-HSA-4719448;R-HSA-4717461;R-HSA-5228508;R-HSA-4341073;R-HSA-4656914;R-HSA-4090408;R-HSA-4655440;R-HSA-4615889;R-HSA-4341016;R-HSA-4551768;R-HSA-3000434;R-HSA-4719447;R-HSA-4615910;R-HSA-5228525;R-HSA-3000399;R-HSA-4341025;R-HSA-5228523;R-HSA-4551649;R-HSA-2997706;R-HSA-4090390;R-HSA-3000348;R-HSA-4551604;R-HSA-4615987;R-HSA-4720446;R-HSA-3000411;R-HSA-4719423;R-HSA-4720432;R-HSA-4570493;R-HSA-4341048;R-HSA-4551679;R-HSA-4655355"
R-HSA-8963896,"HDL assembly",4,8,7.119337901575154E-4,0.0023232300139144346,0.02555553015305878,9,9,6.801692865779928E-4,9606,Homo sapiens,"P17612;O95477;P02647;P01023","P17612;O95477;P02647;P01023","R-HSA-216723;R-HSA-5682103;R-HSA-264758;R-HSA-5682084;R-HSA-5682101;R-HSA-216727;R-HSA-216757;R-HSA-216756;R-HSA-349657"
